user_id,The system is deceptive,The system behaves in an underhanded manner,"I am suspicious of the system’s intent, action, or outputs",I am wary of the system,The system’s actions will have a harmful or injurious outcome,I am confident in the system,The system provides security,The system has integrity,The system is dependable,The system is reliable,I can trust the system,I am familiar with the system
13,3,3,2,2,2,5,4,4,5,5,5,6
8,1,1,1,1,1,3,4,4,5,5,5,7
10,1,1,1,3,2,3,4,4,5,5,4,7
3,3,2,1,3,2,6,6,6,6,7,7,7
12,4,4,5,5,1,4,6,6,5,6,6,6
14,2,1,1,3,1,5,4,4,6,6,6,7
4,2,2,2,1,1,6,7,7,6,6,6,6
9,1,1,1,1,1,7,4,4,7,7,7,7
2,1,1,1,1,1,5,5,6,5,5,6,6
6,1,1,1,2,1,6,4,5,5,5,4,6
